
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              新建
buildtoolbar_popup_room_cell			囚犯居住的地方。
buildtoolbar_popup_room_holdingcell		当新进囚犯还没有分配个人牢房时，会先收容在集体牢房内。
buildtoolbar_popup_room_solitary		禁闭室是独立的牢房，专门用来监禁坏蛋中的坏蛋。
buildtoolbar_popup_room_canteen			囚犯喝下午茶的地方。
buildtoolbar_popup_room_kitchen			厨师料理准备食物的地方。
buildtoolbar_popup_room_shower			让你的囚犯清洁溜溜，不会长虱子。
buildtoolbar_popup_room_yard			在狙击塔严密的监视下，让你的囚犯每天晒晒几小时的太阳。
buildtoolbar_popup_room_storage			存放所有监狱员工所需的材料的区域。
buildtoolbar_popup_room_deliveries		所有商品、材料和囚犯卸货的地方。
buildtoolbar_popup_room_garbage			各种废弃物搜集的地方。
buildtoolbar_popup_room_execution		让囚犯执行死刑的地方。
buildtoolbar_popup_room_workshop		让囚犯无聊到死的地方，同时帮你生产一些车牌。
buildtoolbar_popup_room_security		警卫的办公室。
buildtoolbar_popup_room_office			管理干部工作的地方。
buildtoolbar_popup_room_medicalward		医疗干部工作的地方。
buildtoolbar_popup_room_morgue			死掉的囚犯和员工会送到这里。
buildtoolbar_popup_room_commonroom		囚犯在自由活动时间可以休息的地方。
buildtoolbar_popup_room_kennel          警犬住的地方。
buildtoolbar_popup_room_chapel          当一堆官僚人士聚集在一起，为囚犯的宗教信仰需求想一个解决办法，最后会出现什么？\n一个“多重信仰祈祷室”就此诞生，也就是所谓的教堂。
buildtoolbar_popup_room_paroleroom      当囚犯服刑期满 50% 和 75% 时，就有资格申请假释，他们的命运将会在这间房间内，由典狱长和保安队长决定。\n\n建议安排额外的警卫戒备，当犯人知道他们假释被驳回的时候通常会伤心欲绝。
buildtoolbar_popup_room_library         全国各地会送一些不要的或使用过的书籍给你的监狱，囚犯要协助将书本分类并上架。
buildtoolbar_popup_room_intake          囚犯刚抵达的时候会先带到这里。

buildtoolbar_popup_obj_bed				不会太软、也不会太硬，硬度刚刚好。嗯，事实上嘛，真的很硬又很小。
buildtoolbar_popup_obj_toilet			这是基本人权。
buildtoolbar_popup_obj_table			跟椅子非常契合。
buildtoolbar_popup_obj_chair			跟桌子十分契合。
buildtoolbar_popup_obj_bench			可以坐在上面。
buildtoolbar_popup_obj_electricchair	能送出两千伏特的正义。
buildtoolbar_popup_obj_jaildoor			把囚犯关在他们该在的地方。
buildtoolbar_popup_obj_jaildoorlarge	把很多囚犯关在他们该在的地方。
buildtoolbar_popup_obj_door				一扇简单的门。
buildtoolbar_popup_obj_solitarydoor		最坚固的门可以阻挡最强壮的囚犯逃狱。
buildtoolbar_popup_obj_staffdoor		一扇有上锁的门，不只警卫能开，所有员工都能开。
buildtoolbar_popup_obj_window			可以看一眼阳光。
buildtoolbar_popup_obj_windowlarge		可以看很多眼阳光。
buildtoolbar_popup_obj_tree				防止全球暖化人人有责。
buildtoolbar_popup_obj_light			确保你在任何时间都看的到你的囚犯。
buildtoolbar_popup_obj_cooker			让你的囚犯体验吃热食的豪华生活。
buildtoolbar_popup_obj_fridge			避免你的食材变质坏掉。
buildtoolbar_popup_obj_bin				当扯到违禁品管控的时候，整洁是一件非常重要的事情。
buildtoolbar_popup_obj_sink				所有的员工都必需要洗手。
buildtoolbar_popup_obj_servingtable		把食物装盘给你的囚犯领取。
buildtoolbar_popup_obj_showerhead		莲蓬的头，洗澡用。
buildtoolbar_popup_obj_bookshelf		一个放书的架子。
buildtoolbar_popup_obj_officedesk		你的员工常常要写很多东西，给他们一个闪亮的办公桌吧。
buildtoolbar_popup_obj_filingcabinet	你的员工需要把他们写的东西整理收好。
buildtoolbar_popup_obj_medicalbed		在囚犯偷走之前，你要有个地方存放毒品。
buildtoolbar_popup_obj_morgueslab		提供死者一个有尊严的地方暂放，等待之后灵车来搬移。
buildtoolbar_popup_obj_drain			去除地板上的积水。
buildtoolbar_popup_obj_sprinkler		发生火灾时自动在区域内洒水。
buildtoolbar_popup_obj_metaldetector	当囚犯经过时可以探测是否有违禁品，但仍需要在附近安排警卫才能没收违禁品。
buildtoolbar_popup_obj_weightsbench		让你的囚犯运动，他们喜欢运动。
buildtoolbar_popup_obj_phonebooth		囚犯或许会想跟家人讲话，而这些好用的电话亭实现他们的愿望。
buildtoolbar_popup_obj_tv				用一些令人麻木的平凡事物平静囚犯的心情。
buildtoolbar_popup_obj_largetv			让一堆囚犯们可以共享他们的脑残时刻。
buildtoolbar_popup_obj_pooltable		用一场撞球洗刷无聊的监狱生活。
buildtoolbar_popup_obj_dismantleobject	从你的监狱中移除一件物品。
buildtoolbar_popup_obj_altar            将祈祷者的心声转达给至高无上的天神。
buildtoolbar_popup_obj_pews             信仰者们的座椅，用最坚硬、最不柔软且没有软垫的木头做成。
buildtoolbar_popup_obj_prayermat        让你的囚犯在祈祷的时候不要碰到肮脏的地板。

buildtoolbar_popup_staff_workman		他们会按照你提供的设计，帮你建造你的监狱。
buildtoolbar_popup_staff_guard			帮你看管囚犯并避免他们滋事。
buildtoolbar_popup_staff_armedguard     配戴散弹枪，囚犯在攻击这家伙之前一般会三思。\n\n注：每个武装警卫在军械库内都要有一个个人的置物柜。
buildtoolbar_popup_staff_doctor			自动治疗附近受伤的人，不论是警卫或是囚犯。
buildtoolbar_popup_staff_cook			用囚犯自己准备的餐点喂饱他们。
buildtoolbar_popup_staff_gardener		让你的监狱地面清洁溜溜。
buildtoolbar_popup_staff_janitor		让你的监狱室内清洁溜溜，也可以协助囚犯洗衣服。
buildtoolbar_popup_staff_warden			你监狱的大监督者，必需要先聘雇他才能研发监狱制度和聘请其他高级干部。
buildtoolbar_popup_staff_chief			监狱高级干部，掌管部署介面、闭路监视器、镇报警卫等等监狱制度。
buildtoolbar_popup_staff_foreman		监狱高级干部，负责管理监狱清洁工和园丁。
buildtoolbar_popup_staff_psychologist	监狱高级干部，让你可以了解囚犯们的内心世界。
buildtoolbar_popup_staff_accountant		监狱高级干部，提供监狱财务金融报告。
buildtoolbar_popup_staff_lawyer			监狱高级干部，协助你扭曲某些法规以获得更大的监狱控制权。

buildtoolbar_popup_uts_powerstation		产生监狱所需要的电力。
buildtoolbar_popup_uts_capacitor		当放置在变电站旁的时候，可以提高变电站产出的电力。
buildtoolbar_popup_uts_electricalcable	将电力配送到监狱各个角落。
buildtoolbar_popup_uts_powerswitch		任何连接在开关上的电路可以藉此切换是否通电。\n\n按右键切换开或关。
buildtoolbar_popup_uts_waterpumpstation	提供监狱水源。
buildtoolbar_popup_uts_pipevalve		任何连接在阀门上的水管可以藉此切换是否流通。
buildtoolbar_popup_uts_pipelarge		将大量的水配送到监狱各个角落，这水管或许大到可以让人在里面爬，穿过五百码的臭气而奔向自由。
buildtoolbar_popup_uts_pipesmall		将水配送到监狱各个角落。
buildtoolbar_popup_uts_cctv				不需要到处安排警卫就可以随时监视监狱。\n\n你必需要将这个闭路摄影机连接到一台闭路监视器才能正常运作。
buildtoolbar_popup_uts_cctvmonitor		专门设置在安全中心内，并由警卫操作的安全设备，可以远端监看监狱内的闭路摄影机。\n\n使用连接工具将闭路摄影机连接到这台闭路监视器上。\n\n注: 一台闭路监视器一次最多显示八个摄影机画面，如果连接超过八台摄影机，则监视器会慢慢的轮流显示部分摄影机的画面。
buildtoolbar_popup_uts_DoorControlSystem  专门设置在安全中心内，并由警卫操作的安全设备，可以远端开关监狱内的门。\n\n使用连接工具将门禁伺服器连接到这台门禁控制系统上，而门禁伺服器应该要安装在你想要遥控的门的上方。\n\n注: 你可以连接无限多个门禁伺服器到门禁控制系统上，但是操作系统的警卫最快每秒只能开两个门。
buildtoolbar_popup_uts_phonemonitor     专门设置在安全中心内，并由警卫操作的安全设备，让你可以监听所有囚犯打出去的电话，即时拦截可能的犯罪计划。\n\n使用连接工具将电话亭连接到这台电话监听器上。
buildtoolbar_popup_uts_Servo            将门禁伺服器安装在你想要遥控的门的上方，请确定马达齿轮在门的正上方。\n\n当安装好之后，只要门禁伺服器被触发就会自动开门 - 一般是由门禁控制系统或是门禁定时器触发。\n\n门禁伺服器可以串连，当第一台被触发的时候就会同时触发后面的伺服器。
buildtoolbar_popup_uts_LogicCircuit     进阶建筑师专用。\n\n一个简单的电路盒可以依照输入讯号进行逻辑运算后输出。\n\n可用运算: And / Or / Not / Nand / Nor / Xor\n\n按右键切换逻辑运算。
buildtoolbar_popup_uts_LogicBridge      进阶建筑师专用。\n\n接收输入讯号，并把讯号桥接到同一格的电力线路上，透过电力线路传递逻辑讯号到另一个逻辑单元。\n\n可以用来对整个监狱“广播”一个讯号，例如在广播一个时脉讯号的时候很好用。
buildtoolbar_popup_uts_DoorTimer        在每天固定的时段自动开门。\n\n使用连接工具将门禁伺服器连接到这台门禁定时器上。
buildtoolbar_popup_uts_Wire             连接所有远端遥控系统设备。
buildtoolbar_popup_uts_showallwires		显示监狱内所有电电子路连线。
buildtoolbar_popup_uts_remotedoor       一扇无法用钥匙开启的坚固金属门 (只能透过远端遥控开启) ，用这种门可以有效防止囚犯偷钥匙逃狱。
buildtoolbar_popup_uts_dismantleutility	从监狱移除一个设施。
buildtoolbar_popup_uts_pressurepad      当有物体压在上面时，送出一个讯号给连接的设备。
buildtoolbar_popup_uts_statuslight      依照接收到的讯号亮红或绿灯。

buildtoolbar_contraband_source          显示监狱内所有可能被偷窃的违禁品位置。
buildtoolbar_contraband_day             显示所有过去24小时内没收的违禁品。
buildtoolbar_contraband_week            显示所有过去7天内没收的违禁品。
buildtoolbar_contraband_alltime         显示所有过去曾经没收的违禁品。
buildtoolbar_contraband_informants      显示秘密线人提供的各种情报。

job_matsassigned                        建材已指定
job_matsavailable                       建材可用
job_awaitingmaterials                   等待建材中
job_inprogress                          工作进行中
job_blocked                             工作 (无法进行)
job_queued                              工作 (已排定等待中)

job_failed_noroute                      没有可行走的路线
job_failed_nomaterials                  没有建材
job_failed_toodangerous                 太危险
job_failed_materialsbeingcarried        建材运送中

job_rightclicktocancel                  按右键取消工作
job_refundamount                        退款金额: *X

failuremessage_blocked                  无法进行
failuremessage_cantafford               资金不足
failuremessage_cantaffordupkeep         超过每日预算
failuremessage_maximumcountreached      雇员已达上限
failuremessage_maxstaff                 太多员工


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries                卸货
statustoolbar_finances                  经济
statustoolbar_regime                    日程表
statustoolbar_escapemap                 安全
statustoolbar_electricity               电力
statustoolbar_stats                     状态
statustoolbar_danger                    危险
statustoolbar_jobs                      工作
statustoolbar_gangs                     帮派
statustoolbar_staff                     员工
statustoolbar_research                  研发


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title                  Sprite 银行编辑器
spritebankeditor_create                 新建
spritebankeditor_rotate                 旋转
spritebankeditor_sort                   排序
spritebankeditor_markermodetitle        创造者模式


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu                          主选单
codex_campaign                          剧情模式
codex_cutscenes                         过场动画
codex_qualifications                    资格
codex_load                              读取监狱
codex_save                              储存监狱
codex_performance						效能测试
codex_developer_load                    (开发者) 读取地图
codex_developer_save                    (开发者) 储存地图
codex_contacts                          联络
codex_materials                         素材
codex_play                              进行游戏
codex_polaroids                         Polaroids
codex_introduction                      开场故事
codex_restartintroduction               重新开始开场故事
codex_help                              帮助 (wiki)
codex_opensavefolder                    开启存档资料夹
codex_options							选项
codex_nitgs								游戏内的名字
codex_workshop							分享监狱
codex_checkforupdates                   检查更新
codex_preorder                          现在预购
codex_termsconditions                   协议与条款
codex_twitter                           推特 (Twitter)
codex_extras                            附加功能
codex_unlocked                          解锁进度 *X/*Y

codex_new                               建立新监狱
codex_new_worldsize                     地图大小
codex_new_small                         小
codex_new_medium                        中
codex_new_large                         大

codex_options_graphics					画质
codex_options_resolution				解析度
codex_options_resolutionauto			自动
codex_options_windowed					视窗化
codex_options_highdpi					高DPI模式
codex_options_filtering					采样
codex_options_nofiltering				关
codex_options_multisampled				多重采样
codex_options_supersampled				超级采样

codex_options_audio						音效
codex_options_volume					主音量
codex_options_frequency					混音频率
codex_options_swapstero					交换立体声道
codex_options_dspenabled				启用 DSP
codex_options_11khz						11025 Hz
codex_options_22khz						22050 Hz
codex_options_44khz						44100 Hz

codex_options_clocktype                 时钟类型
codex_options_clocktype_analogue        指针
codex_options_clocktype_12h             12小时制
codex_options_clocktype_24h             24小时制

codex_options_gameplay					游戏
codex_options_autosave					自动存档间隔
codex_options_renderrooms				房间方格显示
codex_options_apply						套用

codex_options_language					语言 (Language)

codex_enabled                           启用
codex_disabled                          停用

codex_option_intake                     持续收容新囚犯
